City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,esperance,-33.8667,121.9,12.31,76,100,9.56,AU,2023-07-03 22:00:13
176,flin flon,54.7682,-101.865,14.77,83,83,5.89,CA,2023-07-03 22:00:13
177,kattivakkam,13.2167,80.3167,28.93,80,100,6.2,IN,2023-07-03 22:00:13
178,klaksvik,62.2266,-6.589,8.51,77,100,8.42,FO,2023-07-03 22:00:14
179,chiredzi,-21.05,31.6667,13.54,55,0,1.61,ZW,2023-07-03 22:00:14
180,nueva loja,0.0847,-76.8828,29.05,69,86,0.46,EC,2023-07-03 22:00:14
181,paita,-5.0892,-81.1144,24.05,74,9,8.08,PE,2023-07-03 22:00:14
182,stabat,3.761,98.4513,25.66,97,72,1.09,ID,2023-07-03 22:00:15
183,lata,40.1629,-8.3327,17.67,98,18,1.68,PT,2023-07-03 22:00:15
184,coquimbo,-29.9533,-71.3436,14.22,85,13,7.41,CL,2023-07-03 22:00:15
185,faanui,-16.4833,-151.75,26.9,81,9,9.09,PF,2023-07-03 22:00:15
186,nouadhibou,20.931,-17.0347,20.58,91,18,7.6,MR,2023-07-03 22:00:15
187,kijang,35.2442,129.2139,23.31,91,100,1.11,KR,2023-07-03 22:00:16
188,nishihara,26.1842,127.7558,27.6,89,75,8.23,JP,2023-07-03 22:00:16
189,bitung,1.4451,125.1824,24.47,87,100,1.93,ID,2023-07-03 21:55:30
190,labuhan,-6.8844,112.2051,25.95,79,64,5.25,ID,2023-07-03 22:00:16
191,geraldton,-28.7667,114.6,13.23,94,75,6.17,AU,2023-07-03 22:00:16
192,namatanai,-3.6667,152.4333,27.66,76,59,2.59,PG,2023-07-03 22:00:16
193,san ramon de la nueva oran,-23.1322,-64.326,24.68,59,71,1.28,AR,2023-07-03 22:00:17
194,scarborough,54.2797,-0.4044,12.18,78,1,3.13,GB,2023-07-03 21:59:05
195,mackay,-21.15,149.2,19.82,93,99,1.96,AU,2023-07-03 22:00:17
196,nalut,30.3333,10.85,30.94,26,4,3.13,LY,2023-07-03 22:00:17
197,oswego,43.4501,-76.1497,22.47,97,99,1.6,US,2023-07-03 22:00:17
198,nuuk,64.1835,-51.7216,8.82,66,75,9.77,GL,2023-07-03 22:00:18
199,boa vista,2.8197,-60.6733,23.99,94,75,1.03,BR,2023-07-03 21:57:25
200,dorna,47.35,25.4333,11.87,84,1,0.8,RO,2023-07-03 22:00:18
201,campos novos,-27.4017,-51.225,11.78,88,16,3.05,BR,2023-07-03 22:00:19
202,arraial do cabo,-22.9661,-42.0278,16.92,77,20,0.0,BR,2023-07-03 22:00:19
203,fernie,49.5,-115.0687,22.54,25,50,2.24,CA,2023-07-03 22:00:19
204,skagen,57.7209,10.5839,13.8,76,28,12.18,DK,2023-07-03 22:00:19
205,kratovo,42.0792,22.1814,16.33,80,13,1.68,MK,2023-07-03 22:00:19
206,dunedin,-45.8742,170.5036,11.0,59,100,11.62,NZ,2023-07-03 22:00:20
207,kimbe,-5.5502,150.1429,26.99,76,97,1.25,PG,2023-07-03 22:00:20
208,kawalu,-7.3817,108.2082,21.41,93,88,1.39,ID,2023-07-03 22:00:20
209,kupang,-10.1667,123.5833,25.32,88,75,5.14,ID,2023-07-03 22:00:20
